timestamp,load_forecast,price_day_ahead,wind_forecast
2016-01-01T00:00:00Z,38163,22.39,8579
2016-01-01T01:00:00Z,36769,20.59,8542
2016-01-01T02:00:00Z,36452,16.81,8443
2016-01-01T03:00:00Z,36578,17.41,8295
2016-01-01T04:00:00Z,37173,17.02,7319
2016-01-01T05:00:00Z,38645,15.86,6574
2016-01-01T06:00:00Z,41436,18.16,5624
2016-01-01T07:00:00Z,43562,17.73,4644
2016-01-01T08:00:00Z,45414,19.77,3733
2016-01-01T09:00:00Z,47467,23.75,2776
2016-01-01T10:00:00Z,49736,26.03,1830
2016-01-01T11:00:00Z,49661,27.06,1287
2016-01-01T12:00:00Z,48274,26.59,790
2016-01-01T13:00:00Z,46918,25.00,496
2016-01-01T14:00:00Z,46270,24.43,405
2016-01-01T15:00:00Z,47815,28.87,665
2016-01-01T16:00:00Z,50811,37.44,1298
2016-01-01T17:00:00Z,51361,37.41,2146
2016-01-01T18:00:00Z,49848,35.34,3371
2016-01-01T19:00:00Z,46698,33.07,4383
2016-01-01T20:00:00Z,44840,29.52,5409
2016-01-01T21:00:00Z,46157,30.10,6180
2016-01-01T22:00:00Z,43415,24.57,6958
2016-01-01T23:00:00Z,39997,22.20,7462
2016-01-02T00:00:00Z,38854,16.57,8763
2016-01-02T01:00:00Z,37761,15.35,10716
2016-01-02T02:00:00Z,37253,12.77,11949
2016-01-02T03:00:00Z,36994,11.27,13451
2016-01-02T04:00:00Z,36773,11.91,14640
2016-01-02T05:00:00Z,36438,12.62,15480
2016-01-02T06:00:00Z,38902,13.83,16062
2016-01-02T07:00:00Z,41734,16.12,16588
2016-01-02T08:00:00Z,44743,18.12,17324
2016-01-02T09:00:00Z,46773,19.59,17888
2016-01-02T10:00:00Z,48570,21.07,18265
2016-01-02T11:00:00Z,48439,22.54,18329
2016-01-02T12:00:00Z,46886,19.79,18394
2016-01-02T13:00:00Z,45282,16.90,18540
2016-01-02T14:00:00Z,45050,16.97,18754
2016-01-02T15:00:00Z,46735,19.25,19192
2016-01-02T16:00:00Z,50845,28.01,19913
2016-01-02T17:00:00Z,51808,28.36,20215
2016-01-02T18:00:00Z,50653,26.56,20108
2016-01-02T19:00:00Z,47480,17.38,19693
2016-01-02T20:00:00Z,45323,15.83,19202
2016-01-02T21:00:00Z,45357,16.97,18460
2016-01-02T22:00:00Z,42906,15.31,18772
2016-01-02T23:00:00Z,39183,6.99,18924
2016-01-03T00:00:00Z,37522,-0.01,18596
2016-01-03T01:00:00Z,36391,0.23,18600
2016-01-03T02:00:00Z,35796,4.51,18440
2016-01-03T03:00:00Z,35654,4.12,18281
2016-01-03T04:00:00Z,35020,6.76,18302
2016-01-03T05:00:00Z,33741,0.75,18422
2016-01-03T06:00:00Z,35640,4.27,18190
2016-01-03T07:00:00Z,38071,9.11,17751
2016-01-03T08:00:00Z,41259,15.92,17202
2016-01-03T09:00:00Z,43857,17.06,16685
2016-01-03T10:00:00Z,46006,19.28,15632
2016-01-03T11:00:00Z,46086,20.25,14568
2016-01-03T12:00:00Z,44358,17.66,14358
2016-01-03T13:00:00Z,43238,18.49,14313
2016-01-03T14:00:00Z,42755,16.51,14881
2016-01-03T15:00:00Z,44245,18.76,15377
2016-01-03T16:00:00Z,48103,22.21,16306
2016-01-03T17:00:00Z,48839,26.76,17294
2016-01-03T18:00:00Z,48491,27.08,17648
2016-01-03T19:00:00Z,46339,25.33,17745
2016-01-03T20:00:00Z,45057,22.11,17589
2016-01-03T21:00:00Z,45100,20.91,16955
2016-01-03T22:00:00Z,42580,14.43,16746
2016-01-03T23:00:00Z,39638,13.78,16415
2016-01-04T00:00:00Z,38416,12.77,15686
2016-01-04T01:00:00Z,37598,10.56,15040
2016-01-04T02:00:00Z,37503,3.87,14410
2016-01-04T03:00:00Z,38184,3.20,13623
2016-01-04T04:00:00Z,40040,8.67,13175
2016-01-04T05:00:00Z,44283,18.01,13284
2016-01-04T06:00:00Z,49210,28.52,13091
2016-01-04T07:00:00Z,51996,34.74,12873
2016-01-04T08:00:00Z,53262,33.46,12206
2016-01-04T09:00:00Z,54323,33.24,11458
2016-01-04T10:00:00Z,55414,35.09,10580
2016-01-04T11:00:00Z,55581,35.00,10173
2016-01-04T12:00:00Z,55420,35.00,9772
2016-01-04T13:00:00Z,54696,34.94,9753
2016-01-04T14:00:00Z,54602,34.92,10014
2016-01-04T15:00:00Z,55001,38.00,10292
2016-01-04T16:00:00Z,57667,41.21,10920
2016-01-04T17:00:00Z,57506,42.95,11096
2016-01-04T18:00:00Z,56355,41.96,10861
2016-01-04T19:00:00Z,53095,34.94,10690
2016-01-04T20:00:00Z,51208,30.66,10284
2016-01-04T21:00:00Z,49542,30.00,9974
2016-01-04T22:00:00Z,46129,23.90,9676
2016-01-04T23:00:00Z,45162,25.03,9529
2016-01-05T00:00:00Z,43624,24.42,9304
2016-01-05T01:00:00Z,42957,22.34,9205
2016-01-05T02:00:00Z,43102,21.50,9191
2016-01-05T03:00:00Z,43698,20.00,9260
2016-01-05T04:00:00Z,45673,23.53,9387
2016-01-05T05:00:00Z,50388,28.96,9378
2016-01-05T06:00:00Z,53782,38.32,9323
2016-01-05T07:00:00Z,55516,41.45,9250
2016-01-05T08:00:00Z,56398,40.72,9086
2016-01-05T09:00:00Z,57320,40.66,8797
2016-01-05T10:00:00Z,58345,40.33,8369
2016-01-05T11:00:00Z,58364,38.25,8088
2016-01-05T12:00:00Z,57514,36.98,7892
2016-01-05T13:00:00Z,56844,34.91,7972
2016-01-05T14:00:00Z,55958,33.50,8052
2016-01-05T15:00:00Z,56930,35.10,8112
2016-01-05T16:00:00Z,60355,42.44,8368
2016-01-05T17:00:00Z,59878,42.94,8622
2016-01-05T18:00:00Z,58480,41.74,8527
2016-01-05T19:00:00Z,55394,36.47,8410
2016-01-05T20:00:00Z,53431,33.01,8185
2016-01-05T21:00:00Z,51335,31.75,7999
2016-01-05T22:00:00Z,48179,26.99,7968
2016-01-05T23:00:00Z,46293,26.62,7723
2016-01-06T00:00:00Z,44592,25.58,7566
2016-01-06T01:00:00Z,43632,24.59,7264
2016-01-06T02:00:00Z,43657,22.50,7212
2016-01-06T03:00:00Z,44323,23.16,7163
2016-01-06T04:00:00Z,46025,24.99,7366
2016-01-06T05:00:00Z,49641,26.62,7206
2016-01-06T06:00:00Z,53922,28.03,7265
2016-01-06T07:00:00Z,56044,29.34,7169
2016-01-06T08:00:00Z,56882,32.94,6806
2016-01-06T09:00:00Z,57941,37.71,6636
2016-01-06T10:00:00Z,59290,40.08,6272
2016-01-06T11:00:00Z,59384,40.73,5672
2016-01-06T12:00:00Z,58415,38.26,5346
2016-01-06T13:00:00Z,57398,35.44,5177
2016-01-06T14:00:00Z,56586,36.92,5347
2016-01-06T15:00:00Z,57555,41.28,5586
2016-01-06T16:00:00Z,60688,44.95,6018
2016-01-06T17:00:00Z,60838,46.90,6242
2016-01-06T18:00:00Z,60139,43.95,6465
2016-01-06T19:00:00Z,57016,39.94,6603
2016-01-06T20:00:00Z,54642,32.40,6434
2016-01-06T21:00:00Z,52791,33.51,6437
2016-01-06T22:00:00Z,49727,30.11,6372
2016-01-06T23:00:00Z,48334,26.41,6420
2016-01-07T00:00:00Z,46368,26.05,6509
2016-01-07T01:00:00Z,45747,24.93,6713
2016-01-07T02:00:00Z,45477,22.39,6943
2016-01-07T03:00:00Z,45715,22.32,7062
2016-01-07T04:00:00Z,47145,24.20,7098
2016-01-07T05:00:00Z,51123,31.00,7575
2016-01-07T06:00:00Z,56124,42.47,8400
2016-01-07T07:00:00Z,58904,42.97,9167
2016-01-07T08:00:00Z,59518,41.93,10482
2016-01-07T09:00:00Z,60248,41.62,11005
2016-01-07T10:00:00Z,61582,41.50,10906
2016-01-07T11:00:00Z,61650,40.66,10983
2016-01-07T12:00:00Z,60815,40.33,11398
2016-01-07T13:00:00Z,59631,36.51,12438
2016-01-07T14:00:00Z,58608,33.49,13858
2016-01-07T15:00:00Z,59363,34.19,15102
2016-01-07T16:00:00Z,62492,40.66,16114
2016-01-07T17:00:00Z,62372,40.80,17594
2016-01-07T18:00:00Z,61607,37.19,18522
2016-01-07T19:00:00Z,58048,31.94,19609
2016-01-07T20:00:00Z,55562,27.01,20734
2016-01-07T21:00:00Z,53667,27.52,21372
2016-01-07T22:00:00Z,50358,23.40,21563
2016-01-07T23:00:00Z,47579,12.12,22456
